"yr","adapt_choice","rev.calf","rev.ins","rev.int","rev.tot","cost.op","cost.ins","cost.adpt","cost.int","cost.tot","profit","taxes","aftax.inc","cap.sales","cap.purch","cap.taxes","assets.cow","assets.cash","net.wrth","wn.succ","forage.potential","herd","calves.sold","cows.culled","zone.change","Gt"
0,"noadpt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,0.77,0.16,1,0
2002,"0",278905.294828169,39046.095,0,317951.389828169,3e+05,6900.96,0,0,306900.96,11050.4298281693,3469.83496604518,7580.59486212417,81600,0,12240,507095.04,76940.5948621242,584035.634862124,0.852055332346479,0.708712534508181,597,0.76908023483366,0.16,1,0.291287465491819
2003,"0",292982.168622341,0,961.757435776552,293943.926058117,298500,6900.96,0,0,305400.96,-11457.0339418827,0,-11457.0339418827,81600,0,12240,505497.04,134843.560920241,640340.600920242,0.86360298116388,0.982006805316446,595,0.763106796116505,0.160804020100503,0.970871253450818,0.0179931946835543
0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
